,,,,,,,,,,,,,330.2679073,330.6858412,331.0683639,331.4110555,331.7092847,331.9582329,332.1529244,332.288263,332.3590743,332.3601551,332.2863283,332.1325039,331.8937447,331.5653359,331.1428583,328.7028344,328.0630673,327.3147513,326.4553931,325.4831878,324.3970773,323.1968007,321.8829331,320.4569121,318.9210506,317.2785357,315.5334129,313.690556,311.7556228,309.7349979,307.6357246,305.4654252,303.2322148,300.9446078,298.6114204,296.2416718,293.844485,291.428989,289.004226,286.5790629,284.162109,281.7616425,279.3855436,277.0412373,274.735645,272.4751452,270.2655421,268.1120446,264.6225719,262.5567469,260.5591806,258.6325469,256.7789126,254.9997574,253.2959995,251.6680241,250.1157156,248.6384925,247.2353443,245.9048699,244.6453163,243.4546192,242.3304417,241.2702146,240.2711741,239.3303997,238.4448498,237.6113967,236.8268581,236.0880283,235.3917056,234.7347186,234.1139491,233.5263535,232.9689802,232.4389864,231.933651,231.4503857,230.9867433,230.540425,230.109284,229.691328,229.28472,228.8877773,228.4989682,228.1169086,227.7403564,227.3682054,226.9994777,226.6333161,226.2689751,225.9058118,225.5432767,225.1809037,224.8183002,224.4551377,224.0911415,223.7260815,223.359763,222.9920177,222.6226953,222.2516558,221.8787621,221.5038732,221.1268387,220.7474932,220.3656518,219.9811068,219.5936244,219.2029431,218.8087717,218.4107894,218.0086459,217.601962,217.1903314,216.7733233,216.3504844,215.9213429,215.4854118,215.0421928,214.5911813,214.1318699,213.663754,213.1863354,212.6991279,212.2016607,211.6934833,211.1741695,210.6433205,210.1005686,209.54558,208.978057,208.3977405,207.8044109,207.1978896,206.5780393,205.9447645,205.2980107,204.6377642,203.9640509,203.276935,202.5765174,200.8413472,200.1195669,199.3852588,198.6386734,197.8800865,197.1097974,196.3281267,195.5354144,194.7320186,193.9183141,193.0946914,192.2615561,191.4193291,190.5684458,189.7093581,188.8425341,187.9684608,187.0876452,186.200617,185.3079315,184.4101725,183.5079559,182.6019334,181.6927962,180.7812795,179.3146355,178.4079061,177.5016714,176.5968633,175.6944735,174.795556,173.9012284,173.012673,172.1311364,171.2579286,166.2363691,165.4792679,164.7344907,164.0033067,163.2870117,162.5869204,161.9043573,161.2406461,160.5970993,159.975006,159.3756198,158.8001461,158.2497292,157.7254406,157.228266,156.7590949,156.3187102,155.9077787,155.5268442,155.1763214,154.8564914,154.5674997,154.3093558,154.0819339,153.8849767,153.7180999,153.5807984,153.4724542,153.3923447,153.3396531,153.3134781,153.3128452,153.3367177,153.3840077,153.4535874,153.5442994,153.6549671,153.7844044,153.9314245,,,,,,,,
,,,,,,,,,,330.0388852,330.5828886,331.1042025,331.5989504,332.0629728,332.4918345,332.8808362,333.2250334,333.5192595,333.758158,333.9362194,334.0478273,334.087311,334.0490046,333.927314,333.716789,333.4122004,333.0086217,330.6839858,330.0522279,329.3053988,328.4406132,327.455731,326.3494263,325.1212449,323.7716502,322.3020551,320.7148382,319.013344,317.201867,315.2856184,313.270678,311.1639307,308.9729896,306.706108,304.3720823,301.9801474,299.5398682,297.0610286,294.553521,292.0272382,289.4919696,286.9573037,284.4325383,281.9265983,279.4479641,277.0046094,274.6039487,272.2527955,269.9573299,267.7230764,265.5548899,262.0780764,260.017318,258.0333402,256.1282345,254.3034559,252.5598512,250.8976923,249.3167118,247.8161424,246.394758,245.0509156,243.7825995,242.5874643,241.4628794,240.4059711,239.4136658,238.4827298,237.6098094,236.7914675,236.024219,235.3045634,234.6290153,233.9941316,233.3965367,232.8329447,232.3001784,231.7951859,231.315055,230.8570239,230.4184901,229.9970169,229.5903372,229.1963555,228.8131477,228.4389595,228.0722027,227.7114503,227.35543,227.0030172,226.6532265,226.3052026,225.9582104,225.6116249,225.2649206,224.9176607,224.5694862,224.220105,223.8692814,223.5168253,223.1625825,222.8064246,222.4482405,222.0879271,221.7253819,221.3604958,220.9931462,220.6231922,220.2504692,219.8747852,219.4959177,219.1136117,218.7275781,218.3374939,217.9430016,217.5437114,217.1392022,216.7290249,216.312705,215.889747,215.4596377,215.0218515,214.575855,214.1211118,213.6570879,213.1832567,212.6991043,212.2041339,211.6978708,211.1798667,210.6497038,210.1069981,209.5514025,208.9826097,208.4003539,207.8044126,207.1946076,206.5708053,205.9329169,205.2808979,204.6147473,203.934506,203.2402554,201.5204863,200.8029399,200.0721055,199.32823,198.5715879,197.8024791,197.0212264,196.2281729,195.4236804,194.608127,193.7819059,192.9454242,192.0991023,191.2433732,190.378683,189.5054912,188.6242722,187.7355166,186.8397336,185.9374532,185.0292297,184.1156451,183.1973126,182.2748812,181.34904,179.866837,178.9433799,178.0192649,177.0953724,176.172643,175.252081,174.3347578,173.4218137,172.5144597,171.6139775,166.5660162,165.7805233,165.0061966,164.2443238,163.4962323,162.7632813,162.046854,161.3483473,160.6691612,160.0106865,159.3742924,158.7613124,158.1730309,157.610669,157.0753707,156.5681898,156.0900775,155.6418705,155.2242817,154.8378913,154.4831405,154.1603269,153.8696016,153.6109689,153.3842879,153.1892758,153.0255135,152.8924525,152.7894233,152.7156455,152.6702384,152.6522321,152.6605803,152.6941716,152.7518426,152.8323891,152.9345781,153.0571589,153.198873,153.3584641,153.5346868,153.7263138,,,,,,
,,,,,,,,,,331.2381671,331.8279797,332.3961694,332.9386796,333.4511367,333.9288553,334.366849,334.7598474,335.1023202,335.3885088,335.6124661,335.7681039,335.8492493,335.8497095,335.7633434,335.5841418,335.3063121,334.9243693,334.4332293,332.0965157,331.3530339,330.4842632,329.4876835,328.3616607,327.1055143,325.7195709,324.2052017,322.5648436,320.802001,318.9212293,316.9280995,314.8291444,312.6317884,310.344262,307.975503,305.535048,303.0329153,300.4794833,297.8853669,295.2612944,292.6179867,289.966043,287.3158328,284.6773965,282.0603565,279.4738386,276.9264042,274.425995,271.979888,269.5946617,267.2761732,265.0295451,262.8591614,259.4087062,257.3656956,255.4078617,253.5366228,251.75274,250.0563533,248.4470232,246.9237737,245.485138,244.1292056,242.8536702,241.6558781,240.5328759,239.4814577,238.4982116,237.5795636,236.7218208,235.9212116,235.1739233,234.4761384,233.8240659,233.213972,232.6422059,232.1052233,231.5996072,231.122085,230.6695428,230.2390369,229.8278027,229.4332605,229.0530195,228.6848786,228.3268261,227.9770367,227.6338668,227.2958492,226.961685,226.6302353,226.3005118,225.9716663,225.64298,225.3138515,224.9837856,224.6523812,224.3193189,223.9843496,223.6472824,223.3079733,222.9663143,222.6222227,222.275631,221.926478,221.5747002,221.2202237,220.8629576,220.502788,220.1395726,219.773137,219.4032713,219.0297275,218.6522191,218.2704199,217.8839651,217.4924526,217.0954452,216.6924735,216.2830397,215.8666218,215.4426783,215.0106533,214.569982,214.1200962,213.6604302,213.1904263,212.7095406,212.2172483,211.7130489,211.1964709,210.667076,210.1244635,209.5682729,208.9981872,208.4139348,207.8152911,207.2020797,206.5741725,205.9314896,205.2739987,204.6017141,203.9146946,203.2130418,201.4999189,200.7735436,200.0333362,199.2795705,198.5125486,197.7325974,196.9400661,196.1353234,195.3187548,194.490761,193.6517556,192.8021638,191.9424219,191.0729762,190.1942836,189.3068119,188.411041,187.5074648,186.5965933,185.6789557,184.7551033,183.8256139,182.8910959,181.9521927,181.0095881,179.5168595,178.5762305,177.6346605,176.6930318,175.75229,174.813449,173.8775947,172.9458874,172.0195647,166.9420619,166.1290995,165.3260702,164.5342633,163.7550198,162.9897264,162.239808,161.5067188,160.7919319,160.0969272,159.4231786,158.77214,158.1452302,157.543818,156.9692065,156.422618,155.9051793,155.4179077,154.9616986,154.537314,154.1453738,153.7863479,153.4605513,153.1681412,152.9091167,152.6833202,152.4904414,152.3300238,152.201472,152.1040615,152.0369495,151.9991867,151.9897303,152.0074571,152.0511767,152.1196449,152.2115772,152.3256606,152.4605663,152.6149604,152.7875138,152.9769122,153.1818636,153.4011056,,,,,
,,,,,,,,,,332.4373728,333.074737,333.6917344,334.2841309,334.8473387,335.376419,335.8660911,336.3107481,336.7044804,337.0411078,337.31422,337.5172271,337.6434194,337.6860363,337.6383457,337.4937302,337.2457818,336.8884023,336.415908,334.1944679,333.4563819,332.5852447,331.5781061,330.4329795,329.1489207,327.7260901,326.165798,324.4705301,322.6439516,320.690891,318.6173015,316.4302016,314.1375974,311.7483869,309.27225,306.7195261,304.1010841,301.4281858,298.7123482,295.9652057,293.198377,290.4233373,287.6512996,284.8931056,282.1591283,279.4591862,276.8024706,274.1974859,271.6520019,269.1730191,266.766745,264.4385816,262.1931234,260.0341637,256.6249535,254.6131928,252.6947385,250.8702493,249.1397142,247.502499,245.9573941,244.5026657,243.1361072,241.8550928,240.6566299,239.5374122,238.4938711,237.5222263,236.6185341,235.7787338,234.998692,234.2742429,233.6012271,232.9755262,232.3930945,231.8499874,231.3423862,230.8666192,230.4191805,229.996744,229.5961759,229.2145423,228.8491161,228.4973793,228.1570236,227.8259493,227.5022611,227.1842625,226.870449,226.559499,226.2502644,225.9417593,225.6331488,225.3237362,225.0129508,224.7003344,224.3855281,224.0682595,223.748329,223.4255974,223.0999732,222.7714006,222.4398482,222.1052981,221.7677357,221.4271408,221.0834791,220.7366944,220.386703,220.0333872,219.676592,219.3161209,218.951734,218.583147,218.2100304,217.8320109,217.4486727,217.0595604,216.6641825,216.2620151,215.8525073,215.435086,215.0091621,214.5741365,214.1294061,213.6743706,213.2084384,212.7310335,212.2416005,211.7396114,211.2245699,210.6960165,210.1535328,209.596745,209.0253265,208.4390007,207.8375423,207.220778,206.5885873,205.9409016,205.2777035,204.5990255,203.9049476,202.2098365,201.4889458,200.7533996,200.0034711,199.2394651,198.4617145,197.6705769,196.866431,196.049674,195.2207183,194.3799895,193.5279235,192.6649659,191.79157,190.9081965,190.0153137,189.1133978,188.202934,187.2844188,186.358362,185.4252902,184.48575,183.5403126,182.5895788,181.6341835,180.1272213,179.1714527,178.213638,177.2545955,176.2952051,175.3364141,174.3792421,173.4247859,172.474223,167.3646034,166.5252794,165.6946024,164.8738449,164.0643422,163.2674889,162.4847324,161.7175652,160.9675154,160.2361354,159.5249891,158.8356382,158.1696263,157.528463,156.913607,156.3264493,155.7682962,155.2403526,154.7437075,154.2793191,153.8480028,153.450421,153.0870746,152.7582976,152.4642538,152.2049365,151.98017,151.7896148,151.6327738,151.5090012,151.4175135,151.3574009,151.3276411,151.3271133,151.3546123,151.4088636,151.4885381,151.5922658,151.71865,151.8662798,152.033742,152.2196323,152.4225646,152.6411799,152.8741537,153.1202023,,,,
,,,,,,,,,332.9319715,333.6334219,334.3199813,334.9876304,335.6319622,336.2481763,336.8310791,337.3750904,337.8742574,338.3222773,338.7125289,339.0381144,339.291912,339.4666393,339.5549272,339.5494055,339.4427977,339.2280252,338.8983184,338.4473334,337.8692718,335.6134324,334.7417277,333.725335,332.5618662,331.2500713,329.7899119,328.1826142,326.430701,324.5379982,322.5096188,320.3519211,318.0724435,315.6798181,313.1836637,310.594463,307.9234256,305.1823423,302.3834327,299.5391913,296.662234,293.7651505,290.8603624,287.9599931,285.0757469,282.2188034,279.399724,276.6283736,273.9138567,271.264467,268.6876511,266.1899853,263.7771633,261.4539964,259.2244223,257.0915235,253.7394861,251.7731569,249.9078504,248.1433836,246.4789035,244.9129405,243.4434648,242.0679438,240.7834003,239.5864709,238.4734635,237.4404142,236.4831423,235.5973026,234.7784366,234.0220195,233.3235052,232.6783667,232.0821341,231.5304287,231.0189922,230.5437139,230.1006529,229.6860568,229.296377,228.9282805,228.5786583,228.2446306,227.9235496,227.6129987,227.3107905,227.0149612,226.7237642,226.4356618,226.1493144,225.8635701,225.5774517,225.2901442,225.0009803,224.709427,224.4150705,224.1176022,223.8168036,223.5125323,223.2047079,222.8932982,222.5783064,222.2597588,221.9376924,221.6121448,221.283144,220.9506991,220.6147927,220.2753738,219.9323522,219.5855936,219.2349164,218.8800891,218.5208295,218.1568042,217.78763,217.4128761,217.0320666,216.6446851,216.250179,215.8479652,215.4374359,215.0179655,214.5889169,214.149649,213.6995236,213.2379124,212.7642041,212.277811,211.778175,211.2647737,210.7371252,210.1947931,209.6373897,209.0645795,208.4760819,207.8716718,207.2511814,206.6144999,205.9615727,205.2924004,204.607037,202.9320019,202.2176706,201.4878231,200.7427308,199.9827014,199.2080746,198.4192182,197.6165241,196.8004045,195.9712883,195.129618,194.2758464,193.4104348,192.5338505,191.6465658,190.7490569,189.8418042,188.9252924,188.000012,187.0664613,186.1251488,185.1765966,184.2213448,183.2599555,182.2930188,181.321158,179.8036489,178.831016,177.8560573,176.8795822,175.9024642,174.9256476,173.9501539,168.703967,167.8333817,166.9689687,166.1118894,165.2633799,164.4247503,163.5973817,162.7827223,161.9822814,161.1976206,160.4303445,159.682088,158.9545034,158.2492444,157.5679497,156.9122255,156.2836264,155.6836371,155.1136538,154.5749657,154.0687385,153.5959982,153.1576177,152.7543053,152.3865954,152.0548425,151.7592176,151.4997076,151.2761178,151.0880766,150.9350437,150.8163193,150.7310563,150.6782736,150.6568709,150.6656439,150.7033007,150.7684777,150.8597556,150.9756748,151.1147503,151.2754854,151.4563844,151.6559644,151.8727653,152.1053591,152.3523576,152.6124185,152.8842511,,,
,,,,,,,,,334.07257,334.8229348,335.5602026,336.2802266,336.9784334,337.649814,338.2889205,338.8898701,339.4463567,339.9516715,340.3987346,340.7801373,341.0881961,341.3150198,341.452589,341.4928475,341.4278064,341.2496583,340.9509002,340.5244642,339.9638511,337.821309,336.9510161,335.9268443,334.7459494,333.4067292,331.9089092,330.2536056,328.4433634,326.4821676,324.3754262,322.129926,319.7537606,317.2562343,314.6477429,311.9396361,309.1440649,306.2738175,303.3421502,300.3626145,297.3488878,294.3146078,291.2732174,288.2378196,285.2210466,282.2349432,279.2908662,276.3994001,273.5702881,270.81238,268.1335943,265.5408947,263.0402793,260.6367829,258.3344885,256.1365496,254.0452204,250.7671397,248.8609368,247.0629065,245.3719513,243.7863133,242.303636,240.9210283,239.6351281,238.4421665,237.3380308,236.3183271,235.3784394,234.5135879,233.7188834,232.9893794,232.3201195,231.7061824,231.1427215,230.6250019,230.1484318,229.7085902,229.3012514,228.9224035,228.5682645,228.2352939,227.920201,227.6199495,227.3317591,227.0531043,226.7817108,226.515549,226.2528256,225.9919742,225.7316431,225.4706827,225.2081316,224.943202,224.675264,224.4038303,224.1285399,223.8491422,223.5654811,223.2774793,222.9851228,222.6884464,222.3875194,222.0824319,221.7732825,221.4601665,221.1431648,220.8223348,220.4977014,220.1692496,219.8369189,219.5005977,219.1601202,218.8152637,218.4657479,218.1112347,217.7513295,217.3855842,217.0135003,216.6345334,216.2480991,215.8535784,215.4503255,215.037674,214.6149454,214.1814567,213.7365283,213.2794919,212.8096981,212.3265238,211.8293792,211.3177139,210.7910224,210.2488495,209.6907939,209.1165118,208.5257191,207.9181934,207.293774,206.6523624,205.9939212,205.3184726,204.6260957,202.9590523,202.2359957,201.4967878,200.7417379,199.9711929,199.1855318,198.3851617,197.5705132,196.7420356,195.9001936,195.0454627,194.1783267,193.2992742,192.4087969,191.5073876,190.5955396,189.6737459,188.7425003,187.8022983,186.8536392,185.897029,184.9329839,183.9620349,182.9847326,182.0016531,180.4714073,179.485343,178.4959427,177.5039428,176.5101386,175.5153927,174.5206418,169.2407971,168.3477832,167.4596904,166.5776189,165.7027499,164.8363475,163.9797575,163.1344059,162.3017945,161.4834947,160.6811389,159.8964104,159.1310301,158.3867424,157.6652981,156.9684362,156.297865,155.6552413,155.0421501,154.4600836,153.9104214,153.3944116,152.9131531,152.4675809,152.0584526,151.686339,151.3516166,151.0544642,150.794862,150.5725946,150.3872565,150.2382606,150.1248494,150.0461079,150.0009788,149.9882785,150.0067143,150.0549021,150.1313841,150.234646,150.3631338,150.5152701,150.6894685,150.8841477,151.0977432,151.3287187,151.5755754,151.8368595,152.1111697,152.3971615,,,
,,,,,,,,,335.2018062,336.0022268,336.7915512,337.5655158,338.3193896,339.0479613,339.7455321,340.4059154,341.0224464,341.5880002,342.095022,342.5355695,342.9013692,343.1838856,343.3744064,343.4641407,343.4443321,343.306384,343.0419954,342.6433059,342.1030458,340.0761259,339.2093993,338.179093,336.981847,335.6156554,334.0799663,332.3757556,330.5055736,328.47356,326.2854276,323.948415,321.4712072,318.8638287,316.1375109,313.3045382,310.3780769,307.3719927,304.3006609,301.1787744,298.0211549,294.8425699,291.6575608,288.480284,285.3243666,282.2027802,279.1277318,276.1105727,273.1617258,270.2906305,267.5057034,264.8143153,262.2227821,259.7363686,257.3593044,255.0948093,252.9451284,250.9115747,247.7248692,245.893809,244.1773515,242.5734201,241.0792995,239.6917053,238.4068547,237.2205364,236.1281801,235.1249244,234.2056815,233.3652011,232.598129,231.8990636,231.2626078,230.6834168,230.1562411,229.6759656,229.2376434,228.8365251,228.4680836,228.1280346,227.8123518,227.5172789,227.2393374,226.9753305,226.7223439,226.4777433,226.2391689,226.0045283,225.7719863,225.5399531,225.3070714,225.0722011,224.8344046,224.5929295,224.3471918,224.0967588,223.8413311,223.5807252,223.3148561,223.04372,222.767378,222.4859396,222.1995475,221.9083632,221.6125532,221.312276,221.0076714,220.6988493,220.3858807,220.0687902,219.7475492,219.4220706,219.0922055,218.7577403,218.418396,218.0738285,217.7236305,217.367334,217.0044149,216.6342979,216.2563626,215.8699508,215.4743738,215.0689208,214.6528676,214.225485,213.7860481,213.3338449,212.8681847,212.3884064,211.8938858,211.3840427,210.8583471,210.3163242,209.7575593,209.1817008,208.5884628,207.9776268,207.3490423,206.7026261,206.0383613,205.3562954,203.7123875,202.9972808,202.2650666,201.5160541,200.7505958,199.9690824,199.1719375,198.3596123,197.5325806,196.6913335,195.8363752,194.9682184,194.0873807,193.1943813,192.2897385,191.373968,190.447581,189.5110846,188.564982,187.6097733,186.6459584,185.6740394,184.6945249,183.7079344,182.7148041,181.7156932,180.1750493,179.1726228,178.1666156,177.1577436,176.1467837,175.134582,169.820831,168.9068524,167.9965906,167.0910689,166.1913962,165.2987705,164.4144801,163.5399051,162.6765146,161.8258631,160.9895846,160.1693836,159.367024,158.5843159,157.8230996,157.0852274,156.3725445,155.6868671,155.0299607,154.4035168,153.8091305,153.2482781,152.722296,152.2323619,151.779477,151.3644525,150.9878981,150.6502143,150.3515883,150.0919934,149.8711919,149.688742,149.5440067,149.4361667,149.3642346,149.3270719,149.3234064,149.3518517,149.4109262,149.4990726,149.6146766,149.7560856,149.9216253,150.1096161,150.3183877,150.5462916,150.7917129,151.0530803,151.3288738,151.6176317,151.9179559,152.2285158,,
,,,,,,,,,336.3158972,337.1673087,338.0098342,338.8391067,339.6502489,340.4378561,341.1959837,341.9181439,342.5973101,343.2259331,343.7959696,344.2989235,344.7259035,345.0676955,345.3148522,345.4577989,345.4869556,345.3928741,345.1663878,344.7987726,344.2819147,343.6084811,341.5119895,340.4773575,339.2649945,337.872435,336.2988034,334.5449018,332.6132647,330.5081804,328.2356752,325.8034621,323.2208541,320.4986454,317.6489634,314.6850972,311.6213062,308.4726162,305.2546076,301.9832021,298.6744524,295.3443403,292.0085866,288.6824764,285.3807022,282.1172259,278.905161,275.7566752,272.6829133,269.6939388,266.7986942,264.004978,261.3194375,258.7475754,256.2937688,253.9612992,251.7523928,249.668268,247.7091907,244.6316548,242.890863,241.2702305,239.7666484,238.3764029,237.095252,235.9185033,234.8410891,233.8576408,232.96256,232.1500876,231.4143677,230.749509,230.1496407,229.608964,229.1217989,228.6826249,228.2861178,227.9271806,227.6009686,227.3029112,227.0287272,226.7744364,226.5363671,226.3111585,226.0957612,225.8874326,225.6837304,225.4825033,225.2818792,225.0802517,224.8762651,224.6687973,224.4569427,224.2399937,224.0174218,223.7888584,223.5540754,223.312966,223.0655258,222.8118337,222.5520347,222.2863214,222.0149181,221.738065,221.4560032,221.1689612,220.8771426,220.5807149,220.2797995,219.9744636,219.6647131,219.3504872,219.0316545,218.7080107,218.3792776,218.0451037,217.7050666,217.3586761,217.005379,216.6445653,216.2755748,215.8977051,215.5102205,215.1123609,214.7033514,214.2824124,213.8487694,213.4016625,212.9403562,212.464148,211.9723772,211.4644318,210.9397559,210.3978549,209.8383004,209.2607341,208.6648699,208.0504956,207.4174733,206.7657388,206.0952996,204.4769195,203.7710007,203.046964,202.3051148,201.5458092,200.7694482,199.9764724,199.1673551,198.3425971,197.5027204,196.6482627,195.7797721,194.8978025,194.0029092,193.095645,192.1765578,191.2461878,190.3050664,189.3537155,188.392648,187.422369,186.443378,185.4561721,184.4612503,183.4591183,182.4502949,180.8984954,179.8843635,178.8657855,177.8434,176.817898,175.7900318,170.442766,169.5093179,168.5784578,167.6511197,166.7283239,165.8111837,164.900909,163.9988099,163.1062972,162.2248813,161.3561685,160.5018551,159.6637181,158.8436044,158.0434155,157.2650916,156.5105914,155.7818713,155.0808618,154.4094433,153.7694208,153.162499,152.5902576,152.0541279,151.5553716,151.0950616,150.6740665,150.2930382,149.9524029,149.652357,149.3928665,149.1736703,148.9942873,148.8540278,148.7520062,148.6871584,148.6582592,148.6639429,148.7027238,148.7730173,148.8731616,149.0014376,149.1560891,149.3353414,149.537418,149.7605565,150.0030221,150.2631195,150.5392032,150.8296861,151.1330458,151.4478304,151.7726618,,
,,,,,,,,336.5051695,337.4107984,338.3138908,339.2105172,340.096222,340.9659959,341.814252,342.6348089,343.4208817,344.1650826,344.8594332,345.4953901,346.0638857,346.5553857,346.9599644,347.2673986,347.4672808,347.549151,347.5026459,347.3176641,346.9845437,346.4942496,345.8385648,343.8525476,342.8155502,341.5894591,340.1712874,338.5597856,336.7555437,334.7610571,332.5807539,330.2209801,327.6899453,324.997627,322.155639,319.1770669,316.0762762,312.8686991,309.5706068,306.1988736,302.7707398,299.3035785,295.8146723,292.3210045,288.839067,285.3846894,281.9728891,278.6177446,275.3322909,272.1284378,269.0169093,266.0072025,263.1075656,260.3249919,257.6652302,255.1328071,252.7310618,250.4621918,248.3273056,246.326485,244.4588517,241.5083637,239.8728429,238.3620143,236.9716959,235.697147,234.533152,233.474104,232.5140854,231.6469457,230.8663763,230.1659811,229.5393419,228.9800794,228.4819092,228.0386911,227.6444735,227.2935317,226.980401,226.6999026,226.447166,226.2176445,226.0071262,225.8117409,225.6279616,225.452603,225.282816,225.1160792,224.9501874,224.7832382,224.6136158,224.4399746,224.2612194,224.0764866,223.8851235,223.6866673,223.4808239,223.2674471,223.046517,222.8181199,222.5824275,222.3396776,222.0901554,221.834175,221.5720631,221.3041429,221.030719,220.7520651,220.4684109,220.1799326,219.8867433,219.5888859,219.2863275,218.9789551,218.6665735,218.3489043,218.0255872,217.6961819,217.360173,217.0169746,216.6659375,216.3063571,215.9374821,215.5585243,215.168669,214.7670857,214.3529392,213.9254003,213.4836573,213.0269256,212.5544583,212.0655551,211.5595704,211.035921,210.494092,209.9336419,209.3542065,208.7555014,208.1373233,207.4995503,206.8421408,206.1651313,204.556417,203.8418303,203.1083537,202.3563432,201.5862078,200.7984034,199.9934264,199.171806,198.3340981,197.4808787,196.6127372,195.7302707,194.8340786,193.9247577,193.0028982,192.0690802,191.123871,190.1678239,189.2014769,188.2253533,187.2399629,186.2458043,185.2433684,184.2331425,183.2156163,182.1912879,180.6293803,179.5995493,178.5650992,177.5266382,176.4848262,171.1050661,170.1536291,169.2037557,168.2562799,167.3121205,166.3722897,165.4378995,164.5101678,163.5904218,162.6801,161.7807512,160.8940318,160.0216996,159.1656049,158.3276783,157.5099157,156.7143605,155.9430824,155.1981543,154.4816269,153.7955022,153.1417058,152.522059,151.9382518,151.391817,150.8841063,150.4162697,149.9892374,149.6037064,149.2601311,148.958718,148.6994253,148.481967,148.3058206,148.1702398,148.0742692,148.0167625,147.9964034,148.011727,148.0611428,148.1429581,148.2554011,148.3966433,148.5648209,148.7580544,148.9744674,149.2122026,149.4694367,149.7443922,150.0353488,150.3406511,150.6587164,150.9880386,151.327193,151.6748376,
,,,,,,,,337.5271583,338.4822169,339.437395,340.3887325,341.3317034,342.2611825,343.1714153,344.0559948,344.9078472,345.719227,346.4817245,347.1862887,347.8232655,348.3824553,348.8531899,349.2244313,349.4848917,349.6231751,349.6279395,349.4880781,349.1929154,348.7324155,348.0973962,347.2797443,345.1860288,343.9477413,342.5048634,340.855717,339.0006381,336.9420559,334.6845261,332.2347195,329.6013624,326.7951328,323.8285142,320.7156125,317.4719424,314.1141897,310.6599575,307.1275041,303.5354798,299.9026686,296.2477423,292.5890305,288.9443114,285.3306244,281.7641092,278.2598685,274.8318567,271.4927937,268.2541011,265.1258611,262.1167943,259.2342568,256.4842526,253.8714609,251.3992757,249.0698562,246.8841866,244.8421444,242.9425739,241.1833666,238.377566,236.8619455,235.4743823,234.2095942,233.0617993,232.0248069,231.092106,230.2569499,229.5124382,228.8515928,228.2674297,227.7530249,227.3015743,226.9064472,226.5612333,226.2597839,225.996246,225.7650899,225.5611315,225.379548,225.2158889,225.0660807,224.9264284,224.7936114,224.6646769,224.5370285,224.4084133,224.276906,224.1408902,223.9990395,223.8502962,223.6938492,223.5291116,223.3556976,223.1733991,222.9821627,222.7820668,222.573299,222.356134,222.1309129,221.8980225,221.6578759,221.4108945,221.1574908,220.898053,220.6329302,220.3624201,220.0867575,219.806105,219.520545,219.230074,218.9345982,218.633931,218.3277927,218.0158118,217.6975279,217.3723962,217.0397941,216.6990285,216.3493449,215.9899377,215.6199604,215.2385378,214.8447781,214.4377846,214.0166687,213.5805614,213.1286251,212.6600648,212.1741376,211.6701623,211.147527,210.6056962,210.0442156,209.4627166,208.8609186,208.2386301,207.595749,206.9322607,205.3527082,204.648947,203.9251517,203.181672,202.4189208,201.6373669,200.837528,200.0199627,199.1852628,198.3340459,197.4669477,196.5846151,195.6876993,194.7768502,193.8527105,192.9159112,191.9670681,191.0067783,190.0356186,189.0541446,188.0628908,187.0623717,186.0530845,185.0355123,184.0101291,182.9774058,181.4058966,180.365976,179.3207651,178.2707961,177.2166411,171.806013,170.8380056,169.8706678,168.9047268,167.9409902,166.9803557,166.023821,165.0724916,164.1275875,163.1904486,162.2625366,161.3454359,160.4408504,159.5505983,158.6766025,157.8208787,156.9855191,156.1726735,155.3845265,154.6232731,153.8910902,153.1901081,152.5223799,151.8898507,151.294328,150.7374528,150.2206733,149.7452218,149.3120948,148.9220381,148.5755361,148.2728064,148.0137994,147.7982026,147.6254499,147.4947349,147.405028,147.3550966,147.3435276,147.3687516,147.4290681,147.522671,147.6476737,147.8021336,147.9840748,148.19151,148.4224595,148.674969,148.9471244,149.2370651,149.5429948,149.8631902,150.1960075,150.5398879,150.8933602,151.2550434,
